fc	cv	train	val
0.1	0.1	0.027	0.9905
0.1	0.2	0.0241	1.867
0.1	0.3	0.033	1.8295
0.1	0.4	0.054	1.7609
0.1	0.5	0.1212	1.5461
0.1	0.6	0.2585	1.4112
0.1	0.7	0.513	1.1838
0.1	0.8	0.8135	1.065
0.1	0.9	1.0988	1.124
0.2	0.1	0.0037	0.8729
0.2	0.2	0.0054	2.3782
0.2	0.3	0.0091	2.2564
0.2	0.4	0.0229	2.0665
0.2	0.5	0.0609	1.8647
0.2	0.6	0.1557	1.5886
0.2	0.7	0.3901	1.2918
0.2	0.8	0.7363	1.1049
0.2	0.9	1.0765	1.1347
0.3	0.1	0.0021	0.8871
0.3	0.2	0.0029	2.5516
0.3	0.3	0.0056	2.4054
0.3	0.4	0.0137	2.2381
0.3	0.5	0.0424	1.9705
0.3	0.6	0.1215	1.6511
0.3	0.7	0.3392	1.3748
0.3	0.8	0.6906	1.1292
0.3	0.9	1.0804	1.1405
0.4	0.1	0.002	0.9076
0.4	0.2	0.0024	2.6544
0.4	0.3	0.0048	2.5343
0.4	0.4	0.0115	2.2847
0.4	0.5	0.031	2.0376
0.4	0.6	0.1084	1.7445
0.4	0.7	0.3175	1.4063
0.4	0.8	0.6766	1.1478
0.4	0.9	1.0804	1.1472
0.5	0.1	0.0021	0.9217
0.5	0.2	0.0023	2.6986
0.5	0.3	0.0039	2.5362
0.5	0.4	0.0106	2.3422
0.5	0.5	0.0298	2.0725
0.5	0.6	0.102	1.7481
0.5	0.7	0.2999	1.3987
0.5	0.8	0.6768	1.1649
0.5	0.9	1.0816	1.151
0.6	0.1	0.0029	0.9298
0.6	0.2	0.0029	2.8626
0.6	0.3	0.0046	2.6727
0.6	0.4	0.0114	2.4072
0.6	0.5	0.0328	2.0606
0.6	0.6	0.1024	1.7545
0.6	0.7	0.3117	1.4137
0.6	0.8	0.6832	1.1699
0.6	0.9	1.0923	1.1605
0.7	0.1	0.0055	0.9463
0.7	0.2	0.0051	3.1759
0.7	0.3	0.0073	3.0232
0.7	0.4	0.0162	2.677
0.7	0.5	0.0397	2.2143
0.7	0.6	0.1179	1.7763
0.7	0.7	0.3353	1.4468
0.7	0.8	0.7144	1.193
0.7	0.9	1.1176	1.1952
0.8	0.1	0.0241	1.0045
0.8	0.2	0.0234	3.3251
0.8	0.3	0.0259	3.3736
0.8	0.4	0.036	3.1727
0.8	0.5	0.0677	2.5925
0.8	0.6	0.1613	1.9984
0.8	0.7	0.3862	1.5199
0.8	0.8	0.7678	1.2149
0.8	0.9	1.158	1.2229
0.9	0.1	0.2825	1.1267
0.9	0.2	0.2807	2.2583
0.9	0.3	0.283	2.3661
0.9	0.4	0.2937	2.3914
0.9	0.5	0.3335	2.3059
0.9	0.6	0.4346	1.9747
0.9	0.7	0.6349	1.5924
0.9	0.8	0.9647	1.3031
0.9	0.9	1.2588	1.304
